vx_JW,vy_JW
0.0,106532.4153
-131.69250517180402,106532.33500505025
-263.3848201890718,106532.09412030848
-395.07675489749647,106531.69264609703
-526.7681191432296,106531.13058295318
-658.4587227731095,106530.40793162909
-790.1483756348912,106529.52469309184
-921.8368875774748,106528.4808685234
-1053.5240684511355,106527.27645932065
-1185.2097281077515,106525.91146709537
-1316.893676401034,106524.38589367423
-1448.575723186756,106522.69974109881
-1580.255678322981,106520.85301162557
-1711.9333516702932,106518.84570772585
-1843.6085530920245,106516.6778320859
-1975.2810924544858,106514.34938760684
-2106.950779627194,106511.86037740468
-2238.6174244831027,106509.21080481028
-2370.2808368988303,106506.4006733694
-2501.940826754889,106503.42998684265
-2633.597203935914,106500.29874920551
-2765.2497783308927,106497.00696464832
-2896.8983598333934,106493.55463757626
-3028.542758341794,106489.94177260937
-3160.182783759511,106486.16837458251
-3291.8182459952286,106482.2344485454
-3423.4489549631276,106478.13999976256
-3555.0747205831144,106473.88503371335
-3686.695352781049,106469.46955609194
-3818.310661488976,106464.8935728073
-3949.92045664535,106460.15708998321
-4081.5245481952675,106455.26011395825
-4213.122746090694,106450.20265128576
-4344.714860290694,106444.98470873386
-4476.300700761656,106439.60629328544
-4607.880077477529,106434.06741213816
-4739.452800420042,106428.36807270443
-4871.01867957894,106422.50828261136
-5002.577524952207,106416.48804970084
-5134.129146546299,106410.30738202945
-5265.673354376371,106403.96628786849
-5397.209958466504,106397.46477570395
-5528.738768849935,106390.80285423652
-5660.259595569286,106383.98053238157
-5791.772248676792,106376.9978192691
-5923.276538234528,106369.85472424384
-6054.77227431464,106362.55125686507
-6186.25926699957,106355.08742690677
-6317.737326382288,106347.46324435751
-6449.206262566519,106339.67871942047
-6580.66588566697,106331.73386251341
-6712.116005809558,106323.6286842687
-6843.556433131641,106315.36319553325
-6974.986977782243,106306.93740736853
-7106.407449922285,106298.35133105055
-7237.817659724811,106289.60497806985
-7369.217417375216,106280.69836013147
-7500.606533071476,106271.63148915496
-7631.984817024373,106262.40437727432
-7763.352079457725,106253.01703683805
-7894.708130608615,106243.46948040907
-8026.052780727615,106233.76172076476
-8157.385840079017,106223.89377089689
-8288.70711894106,106213.86564401165
-8420.016427606159,106203.67735352961
-8551.313576381128,106193.32891308572
-8682.598375587411,106182.82033652924
-8813.870635561314,106172.15163792382
-8945.130166654222,106161.32283154737
-9076.376779232836,106150.33393189214
-9207.610283679394,106139.18495366462
-9338.830490391905,106127.8759117856
-9470.037209784368,106116.40682139009
-9601.230252287007,106104.77769782733
-9732.409428346495,106092.98855666076
-9863.574548426177,106081.039413668
-9994.725423006308,106068.93028484084
-10125.861862584268,106056.66118638522
-10256.983677674796,106044.23213472118
-10388.090678810217,106031.64314648291
-10519.182676540662,106018.89423851862
-10650.259481434307,106005.98542789064
-10781.32090407759,105992.91673187532
-10912.366755075436,105979.688167963
-11043.396845051497,105966.29975385805
-11174.410984648363,105952.75150747882
-11305.408984527798,105939.04344695758
-11436.390655370966,105925.17559064056
-11567.35580787865,105911.14795708787
-11698.30425277149,105896.96056507353
-11829.235800790198,105882.61343358541
-11960.150262695794,105868.10658182522
-12091.047449269821,105853.44002920846
-12221.927171314586,105838.61379536445
-12352.789239653372,105823.62790013626
-12483.633465130672,105808.48236358068
-12614.45965861241,105793.17720596826
-12745.267630986174,105777.7124477832
-12876.057193161434,105762.08810972338
-13006.828156069772,105746.30421270031
-13137.580330665109,105730.36077783913
-13268.313527923925,105714.25782647856
-13399.02755884549,105697.99538017085
-13529.722234452085,105681.57346068182
-13660.397365789233,105664.99208999077
-13791.05276392592,105648.2512902905
-13921.688239954821,105631.35108398725
-14052.303604992527,105614.29149370067
-14182.898670179764,105597.07254226385
-14313.47324668163,105579.6942527232
-14444.027145687805,105562.15664833848
-14574.560178412792,105544.45975258278
-14705.072156096125,105526.60358914245
-14835.562890002608,105508.5881819171
-14966.03219142253,105490.41355501958
-15096.479871671894,105472.07973277589
-15226.905742092646,105453.58673972523
-15357.309614052887,105434.9346006199
-15487.691298947107,105416.12334042536
-15618.05060819641,105397.15298432007
-15748.387353248732,105378.02355769557
-15878.70134557907,105358.73508615642
-16008.9923966897,105339.28759552013
-16139.260318110413,105319.68111181718
-16269.504921398724,105299.91566129094
-16399.726018140107,105279.99127039769
-16529.923419948213,105259.90796580652
-16660.096938465093,105239.66577439939
-16790.246385361428,105219.26472327099
-16920.371572336746,105198.7048397288
-17050.472311119647,105177.98615129302
-17180.54841346803,105157.1086856965
-17310.59969116931,105136.07247088477
-17440.625956040647,105114.87753501597
-17570.62701992916,105093.5239064608
-17700.602694712165,105072.01161380255
-17830.552792297378,105050.34068583699
-17960.47712462316,105028.51115157237
-18090.375503658724,105006.5230402294
-18220.24774140436,104984.37638124118
-18350.09364989166,104962.0712042532
-18479.913041183743,104939.60753912326
-18609.705727375473,104916.98541592149
-18739.47152059368,104894.20486493025
-18869.21023299739,104871.26591664414
-18998.92167677803,104848.16860176997
-19128.605664159677,104824.91295122667
-19258.262007399255,104801.49899614528
-19387.890518786768,104777.92676786896
-19517.49101064552,104754.19629795288
-19647.06329533234,104730.3076181642
-19776.607185237794,104706.26076048207
-19906.122492786417,104682.05575709755
-20035.609030436925,104657.6926404136
-20165.066610682443,104633.17144304501
-20294.495046050724,104608.49219781837
-20423.894149104373,104583.65493777207
-20553.26373244106,104558.65969615619
-20682.60360869375,104533.50650643253
-20811.913590530916,104508.19540227452
-20941.193490656762,104482.7264175672
-21070.443121811448,104457.0995864072
-21199.662296771305,104431.31494310265
-21328.850828349056,104405.37252217319
