x_jw,y_jw,x_moon,y_moon,x_earth,y_earth
152111638.0,0.0,152503934.0,0.0,152098238.0,0.0
152102273.89770368,221035.36461098058,152503772.39596626,190695.38112188247,152098124.51004624,184611.70068829422
152091046.03141794,428448.70922909654,152503287.5935602,381389.03430920944,152097784.04023513,369223.14150580793
152080006.03175384,631081.0883690447,152502479.62186673,572079.2318171049,152097216.59071702,553834.0625798828
152069282.1609244,831158.5900269861,152501348.52936032,762764.2462800678,152096422.16174248,738444.2040341045
152058808.69022343,1029573.9597605004,152499894.38390383,953442.3509017057,152095400.75366235,923053.3059864246
152048515.0534359,1226791.775985168,152498117.2727474,1144111.8196445224,152094152.3669277,1107661.108547281
152038343.48378432,1423090.6009580367,152496017.30252686,1334770.9274197805,152092677.00209,1292267.3518177182
152028248.24096373,1618653.2467079468,152493594.5992618,1525417.950277457,152090974.6598009,1476871.7758875063
152018192.91327733,1813607.470444224,152490849.30835322,1716051.165596312,152089045.34081236,1661474.1208332586
152008148.10905284,2008046.7906283084,152487781.59458107,1906668.852274092,152086889.0459768,1846074.126716547
151998089.74094942,2202042.1453634356,152484391.6421012,2097269.2909178887,152084505.77624694,2030671.5335820168
151987997.78370282,2395648.8854546105,152480679.6544422,2287850.764034677,152081895.53267595,2215266.081455499
151977855.37163597,2588911.2010237994,152476645.85450184,2478411.556222052,152079058.3164175,2399857.5103421193
151967648.13472918,2781865.0479345075,152472290.48454323,2668949.9543591975,152075994.12872568,2584445.560224405
151957363.70270553,2974540.1529897605,152467613.8061908,2859464.2477981034,152072702.9709552,2769029.9710603906
151946991.32884127,3166961.429833571,152462616.10042572,3049952.728555065,152069184.84456128,2953610.482781716
151936521.6003429,3359150.0046702777,152457297.6675815,3240413.6915024933,152065439.75109985,3138186.8352917265
151925946.21227255,3551123.9759115074,152451658.82733902,3430845.4345610617,152061467.6922275,3322758.7684635636
151915257.78881842,3742898.9876967915,152445699.9187214,3621246.2588922307,152057268.66970158,3507326.0221382547
151904449.7403354,3934488.670277562,152439421.30008873,3811614.469091176,152052842.68538022,3691888.3361227964
151893516.14776725,4125904.983277587,152432823.34913254,4001948.373380161,152048189.74122244,3876445.4501882344
151882451.66828412,4317158.486852991,152425906.46287015,4192246.2838023906,152043309.83928818,4060997.1040677363
151871251.45754448,4508258.558485021,152418671.05763876,4382506.5164163895,152038202.98173833,4245543.037454656
151859911.10511953,4699213.568196616,152411117.56908947,4572727.39149094,152032869.17083487,4430082.990000599
151848426.58044022,4890031.021567323,152403246.4521811,4762907.233700637,152027308.40894088,4614616.7013134705
151836794.18723157,5080717.677517074,152395058.18117395,4953044.372322093,152021520.69852063,4799143.910955522
151825010.52484947,5271279.646110518,152386553.2496234,5143137.141430854,152015506.0421396,4983664.358441392
151813072.45527494,5461722.470386469,152377732.1703734,5333183.880099074,152009264.44246462,5168177.783236127
151800977.0747779,5652051.19530002,152368595.47555,5523182.932594003,152002795.90226388,5352683.924753209
